"250011283","lanagapt","","","Primary School","","","","School","","Main Street","","","","o/s","","NW","E0047431","Cockerham","","","Lancaster","","Cockerham","","0","U",346608,451975,-2.8152425860,53.9610901131,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-10T12:59:00",1,"rev","act"
"250011284","lanagapw","","","France Hill Farm","","","","France Hill Farm","","LANCASTER ROAD","","","","by","","W","E0047431","Cockerham","","","Lancaster","","Cockerham","","0","U",345055,451211,-2.8387714349,53.9540612666,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2011-11-23T08:52:00",2,"del","del"
"250011015","lanadtmw","","","Redcourt","","","","Queen Street","","Main Road","","","","by","","N","E0047428","Carnforth","","","Lancaster","","Carnforth","","0","U",349552,470033,-2.7733853346,54.1236693402,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T12:20:00",1,"rev","act"
"250011007","lanadtma","","","High School","","","","High School","","Kellet Road","","","","o/s","","SE","E0047428","Carnforth","","","Lancaster","","Carnforth","","0","U",350362,470196,-2.7610198241,54.1252131756,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T12:48:00",1,"rev","act"
"250011009","lanadtmd","","","Highfield Road","","","","Kellet Road","","Kellet Road","","","","by","","NW","E0047428","Carnforth","","","Lancaster","","Carnforth","","0","U",350280,470240,-2.7622816666,54.1256006481,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2017-01-10T14:15:00",3,"rev","act"
"250011010","lanadtmg","","","Canal Turn","","","","Lancaster Road","","Lancaster Road","","","","by","","S","E0047428","Carnforth","","","Lancaster","","Carnforth","","0","U",349599,470133,-2.7726829981,54.1245726240,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T12:41:00",1,"rev","act"
"250011011","lanadtmj","","","Market Street","","","","Market Street","","Market Street","","","","Stop 7","","SE","E0047428","Carnforth","","","Lancaster","","Carnforth","","0","U",350009,470565,-2.7664818667,54.1284949739,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2011-02-11T13:59:00",2,"rev","act"
"250011029","lanadtpg","","","Copy Lane","","","","Copy Lane","","Brookhouse Road","","","","by","","NW","E0056125","Caton","","","Lancaster","","Caton (Lancs)","","0","U",353232,464519,-2.7162291826,54.0744648278,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-10T11:50:00",1,"rev","act"
"250011048","lanadtwm","","","Lyth Road","","","","Lyth Road","","Keswick Road","","","","by","","NE","E0016010","Ridge","Lancaster","","Lancaster","","Ridge (Lancaster)","","0","U",348739,462505,-2.7845457310,54.0559371053,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-06-17T12:28:00",1,"rev","act"
"250011032","lanadtpm","","","Nursing Home","","","","Nursing Home","","Caton Green Road","","","","by","","E","E0015943","Brookhouse","","","Lancaster","","Brookhouse (Caton)","","0","U",354960,465161,-2.6899187213,54.0803887710,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-10T11:56:00",1,"rev","act"
"250011034","lanadtpt","","","Hall Drive","","","","Hall Drive","","Quernmore Road","","","","by","","SE","E0056125","Caton","","","Lancaster","","Caton (Lancs)","","0","U",352830,464560,-2.7223786477,54.0747965451,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-10T11:48:00",1,"rev","act"
"250011730","lanagmpd","","","Victoria Inn","","","","Victoria Inn","","Glasson Dock Road","","","","o/s","","SE","E0015963","Glasson Dock","","","Lancaster","","Glasson (Lancs)","","0","U",344599,456119,-2.8466134192,53.9981192879,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2011-07-12T13:35:00",2,"rev","act"
"250011971","lanagtgj","","","Memorial Hall","","","","Memorial Hall","","Hanging Green Lane","","","","by","","N","E0015977","Hest Bank","","","Lancaster","","Hest Bank","","0","U",347315,466305,-2.8069583570,54.0899424834,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T11:45:00",1,"rev","act"
"250011972","lanagtgm","","","Old Station","","","","Old Station","","Coastal Road","","","","by","","N","E0015977","Hest Bank","","","Lancaster","","Hest Bank","","0","U",346848,466507,-2.8141327590,54.0917096739,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T11:48:00",1,"rev","act"
"250011974","lanagtgp","","","The Knoll","","","","Shady Lane","","Hest Bank Lane","","","","by","","NW","E0015977","Hest Bank","","","Lancaster","","Hest Bank","","0","U",347189,465796,-2.8087954804,54.0853553561,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-06T11:43:00",1,"rev","act"
"250011979","lanagtgt","","","Oxcliffe Road","","","","Four Lane Ends","","Heysham Road","","","","by","","N","E0016013","Sandylands","Morecambe","","Lancaster","","Sandylands (Morecambe)","","0","U",341728,462427,-2.8916160118,54.0544897596,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-05-05T16:12:00",1,"rev","act"
"250011768","lanagmtj","","","Aughton Road End","","","","Aughton Road End","","Borwick Road","","","","by","","NW","E0047433","Gressingham","","","Lancaster","","Gressingham","","0","U",356372,470094,-2.6690517731,54.1248429227,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2010-06-17T10:39:00",1,"rev","act"
"250012060","lanagwam","","","War Memorial","","","","Church","","Melling Road","","","","o/s","","N","E0047436","Hornby","","","Lancaster","","Hornby-with-Farleton","","0","U",358468,468589,-2.6367754491,54.1114916496,"BCT","MKD","TIP","","","","087","2006-08-24T00:00:00","2011-08-17T15:24:00",2,"rev","act"
